image_name,human_emotion,gpt4o_zero_shot,gpt4o_few_shot,gpt4o_cot,gemini_zero_shot,gemini_few_shot,gemini_cot
sun_and_suns_page_10.png,ترقب,ترقب,ترقب,ترقب,مفاجأة,ترقب,ترقب
sun_and_suns_page_11.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
sun_and_suns_page_12.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
sun_and_suns_page_14.png,محايد,غضب,غضب,غضب,غضب,سعادة,غضب
sun_and_suns_page_4.png,محايد,مفاجأة,ترقب,مفاجأة,مفاجأة,خوف,مفاجأة
sun_and_suns_page_5.png,حزن,حزن,حزن,حزن,حزن,حزن,حزن
sun_and_suns_page_6.png,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة
sun_and_suns_page_7.png,محايد,مفاجأة,محايد,مفاجأة,سعادة,سعادة,مفاجأة
sun_and_suns_page_8.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
sun_and_suns_page_9.png,محايد,محايد,ثقة,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_15.png,ترقب,مفاجأة,ترقب,مفاجأة,ترقب,ترقب,ترقب
tomorrow_I_will_be_page_19.png,ترقب,ترقب,ترقب,ترقب,مفاجأة,ترقب,مفاجأة
tomorrow_I_will_be_page_30.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_38.png,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة
tomorrow_I_will_be_page_40.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_43.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_44.png,سعادة,سعادة,ثقة,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_47.png,ثقة,ثقة,ترقب,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_7.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
tomorrow_I_will_be_page_9.png,ترقب,مفاجأة,ثقة,ثقة,مفاجأة,مفاجأة,مفاجأة
who_defeated_the_evil_of_extravagance_page_10.png,خوف,خوف,سعادة,غضب,خوف,غضب,غضب
who_defeated_the_evil_of_extravagance_page_11.png,سعادة,سعادة,سعادة,سعادة,سعادة,غضب,سعادة
who_defeated_the_evil_of_extravagance_page_12.png,محايد,سعادة,ثقة,ثقة,محايد,قرف,قرف
who_defeated_the_evil_of_extravagance_page_14.png,حزن,محايد,سعادة,ترقب,مفاجأة,سعادة,مفاجأة
who_defeated_the_evil_of_extravagance_page_16.png,محايد,حزن,حزن,حزن,حزن,ثقة,ثقة
who_defeated_the_evil_of_extravagance_page_17.png,محايد,ترقب,حزن,ترقب,ترقب,ثقة,ترقب
who_defeated_the_evil_of_extravagance_page_18.png,محايد,ثقة,حزن,ثقة,ثقة,ثقة,ثقة
who_defeated_the_evil_of_extravagance_page_19.png,ثقة,سعادة,ثقة,سعادة,غضب,قرف,غضب
who_defeated_the_evil_of_extravagance_page_5.png,سعادة,ثقة,سعادة,ثقة,سعادة,سعادة,سعادة
who_defeated_the_evil_of_extravagance_page_6.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
who_defeated_the_evil_of_extravagance_page_7.png,سعادة,سعادة,سعادة,سعادة,سعادة,غضب,سعادة
who_defeated_the_evil_of_extravagance_page_9.png,سعادة,سعادة,ثقة,سعادة,سعادة,قرف,سعادة
why_did_the_electricity_12.png,سعادة,سعادة,ثقة,سعادة,سعادة,سعادة,مفاجأة
why_did_the_electricity_14.png,سعادة,سعادة,ترقب,سعادة,سعادة,سعادة,سعادة
why_did_the_electricity_15.png,سعادة,سعادة,ثقة,سعادة,ترقب,سعادة,ترقب
why_did_the_electricity_17.png,سعادة,سعادة,ترقب,سعادة,مفاجأة,سعادة,ترقب
why_did_the_electricity_18.png,حزن,حزن,خوف,حزن,خوف,خوف,خوف
why_did_the_electricity_20.png,ثقة,ثقة,ترقب,سعادة,ترقب,سعادة,سعادة
why_did_the_electricity_24.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
why_did_the_electricity_25.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
why_did_the_electricity_6.png,خوف,مفاجأة,مفاجأة,مفاجأة,خوف,خوف,خوف
why_did_the_electricity_8.png,ثقة,ثقة,ثقة,ثقة,ثقة,سعادة,سعادة
